Date,NASDQUE,DJIA
2012-10-25,4791.149902,13103.67969
2012-10-26,4748.359863,13107.20996
2012-10-31,4781.259766,13096.45996
2012-11-01,4707.779785,13232.62012
2012-11-02,4627.080078,13093.16016
2012-11-05,4620.160156,13112.44043
2012-11-06,4517.319824,13245.67969
2012-11-07,4543.970215,12932.73047
2012-11-08,4686.5,12811.32031
2012-11-09,4734.47998,12815.38965
2012-11-12,4752.740234,12815.08008
2012-11-13,4756.720215,12756.17969
2012-11-14,4828.950195,12570.9502
2012-11-15,4827.22998,12542.37988
2012-11-16,4893.950195,12588.30957
2012-11-19,4889.240234,12795.95996
2012-11-20,4860.52002,12788.50977
2012-11-21,4805.759766,12836.88965
2012-11-23,4822.339844,13009.53027
2012-11-26,4796.25,12967.37012
2012-11-27,4756.529785,12878.12988
2012-11-28,4811.930176,12985.11035
2012-11-29,4683.919922,13021.82031
2012-11-30,4733.5,13025.58008
2012-12-03,4749.97998,12965.59961
2012-12-04,4636.100098,12951.78027
2012-12-05,4776.509766,13034.49023
2012-12-06,4828.319824,13074.04004
2012-12-07,4812.709961,13155.12988
2012-12-10,4697.540039,13169.87988
2012-12-11,4506.490234,13248.44043
2012-12-12,4526.25,13245.4502
2012-12-13,4706.040039,13170.71973
2012-12-14,4877.490234,13135.00977
2012-12-17,5019.049805,13235.38965
2012-12-18,5059.350098,13350.95996
2012-12-19,5091.700195,13251.96973
2012-12-20,5048.240234,13311.71973
2012-12-21,5033.560059,13190.83984
2012-12-24,5044.390137,13138.92969
2012-12-26,5036.790039,13114.58984
2012-12-27,5101.799805,13096.30957
2012-12-28,5043.540039,12938.11035
2012-12-31,5056.439941,13104.13965
2013-01-02,5139.939941,13412.54981
2013-01-03,5105.549805,13391.36035
2013-01-04,5115.379883,13435.20996
2013-01-07,5128.279785,13384.29004
2013-01-08,5128.779785,13328.84961
2013-01-09,5111.72998,13390.50977
2013-01-10,5089.209961,13471.21973
2013-01-11,5039.779785,13488.42969
2013-01-14,5088.629883,13507.32031
2013-01-15,5146.410156,13534.88965
2013-01-16,5171.77002,13511.23047
2013-01-17,5208.120117,13596.01953
2013-01-18,5218.859863,13649.7002
2013-01-22,5210.140137,13712.20996
2013-01-23,5163.180176,13779.33008
2013-01-24,5098.939941,13825.33008
2013-01-25,5104.890137,13895.98047
2013-01-28,5071.509766,13881.92969
2013-01-29,4997.700195,13954.41992
2013-01-30,4922.399902,13910.41992
2013-01-31,4909.759766,13860.58008
2013-02-01,4997.459961,14009.79004
2013-02-04,4991.939941,13880.08008
2013-02-05,5009.209961,13979.29981
2013-02-06,5013.120117,13986.51953
2013-02-07,4986.870117,13944.04981
2013-02-08,4958.470215,13992.96973
2013-02-11,5080.509766,13971.24023
2013-02-12,5112.189941,14018.7002
2013-02-13,5122.410156,13982.91016
2013-02-14,5160.089844,13973.38965
2013-02-15,5153.970215,13981.75977
2013-02-19,5117,14035.66992
2013-02-20,5132.950195,13927.54004
2013-02-21,5064.879883,13880.62012
2013-02-22,5055.549805,14000.57031
2013-02-25,5029.970215,13784.16992
2013-02-26,5051.100098,13900.12988
2013-02-27,5082.509766,14075.37012
2013-02-28,5076.689941,14054.49023
2013-03-01,5013.870117,14089.66016
2013-03-04,5021.629883,14127.82031
2013-03-05,5068.459961,14253.76953
2013-03-06,5059.120117,14296.24023
2013-03-07,5099.22998,14329.49023
2013-03-08,5076.52002,14397.07031
2013-03-11,5082.930176,14447.29004
2013-03-12,5070.029785,14450.05957
2013-03-13,5097.97998,14455.28027
2013-03-14,5106.589844,14539.13965
2013-03-15,5032.75,14514.11035
2013-03-18,5089.359863,14452.05957
2013-03-19,5090.790039,14455.82031
2013-03-20,5071.740234,14511.73047
2013-03-21,5070.029785,14421.49023
2013-03-22,5078.439941,14512.03027
2013-03-25,5048.290039,14447.75
2013-03-26,5050.799805,14559.65039
2013-03-27,4981.689941,14526.16016
2013-03-28,4976.189941,14578.54004
2013-04-01,4993.569824,14572.84961
2013-04-02,5003.549805,14662.00977
2013-04-03,4945.540039,14550.34961
2013-04-04,4919.640137,14606.11035
2013-04-05,4939.330078,14565.25
2013-04-08,5016.930176,14613.48047
2013-04-09,5005.390137,14673.45996
2013-04-10,4941.419922,14802.24023
2013-04-11,5023.640137,14865.13965
2013-04-12,5055.419922,14865.05957
2013-04-15,5060.25,14599.2002
2013-04-16,5092.080078,14756.78027
2013-04-17,5056.060059,14618.58984
2013-04-18,5035.169922,14537.13965
2013-04-19,5014.100098,14547.50977
2013-04-22,4994.600098,14567.16992
2013-04-23,4931.810059,14719.45996
2013-04-24,5007.790039,14676.29981
2013-04-25,5011.02002,14700.79981
2013-04-26,4977.290039,14712.54981
2013-04-29,4988.25,14818.75
2013-04-30,4995.97998,14839.79981
2013-05-01,4974.560059,14700.9502
2013-05-02,4950.819824,14831.58008
2013-05-03,4910.22998,14973.95996
2013-05-06,4917.319824,14968.88965
2013-05-07,4886.939941,15056.2002
2013-05-08,4880.22998,15105.12012
2013-05-09,4900.879883,15082.62012
2013-05-10,4947.439941,15118.49023
2013-05-13,4891.220215,15091.67969
2013-05-14,4863.359863,15215.25
2013-05-15,4876.52002,15275.69043
2013-05-16,4994.72998,15233.21973
2013-05-17,5010.970215,15354.40039
2013-05-20,5026.419922,15335.28027
2013-05-21,4992.379883,15387.58008
2013-05-22,4982.830078,15307.16992
2013-05-23,4937.430176,15294.5
2013-05-24,4929.509766,15303.09961
2013-05-28,4871.759766,15409.38965
2013-05-29,4893.290039,15302.79981
2013-05-30,4849.939941,15324.53027
2013-05-31,4859.790039,15115.57031
2013-06-03,4942.439941,15254.03027
2013-06-04,4927.370117,15177.54004
2013-06-05,4982.810059,14960.58984
